R,G,B,Temperature
0,0,0,-1
0,0,0,0
10,132,0,1
20,137,0,2
30,142,0,3
40,147,0,4
50,152,0,5
60,157,0,6
70,162,0,7
80,167,0,8
92,173,0,9
102,178,0,10
112,183,0,11
121,188,0,12
131,193,0,13
142,198,0,14
152,203,0,15
162,208,0,16
174,214,0,17
184,219,0,18
194,224,0,19
204,229,0,20
214,234,0,21
224,239,0,22
234,244,0,23
243,249,0,24
255,254,0,25
255,244,0,26
255,234,0,27
255,224,0,28
255,214,0,29
255,204,0,30
255,194,0,31
255,184,0,32
255,174,0,33
255,162,0,34
255,152,0,35
255,142,0,36
255,131,0,37
255,121,0,38
255,112,0,39
255,102,0,40
255,92,0,41
255,80,0,42
255,70,0,43
255,60,0,44
255,49,0,45
255,40,0,46
255,30,0,47
255,20,0,48
255,9,0,49
255,0,0,50
